CorrespondenceID	wlstatus	wlstatusdesc
3980082	6	[ERR] Missing Variables: plan_intro ; 
3980083	6	[ERR] Missing Variables: plan_intro ; 
3980086	1	
3980087	1	
3980088	6	[ERR] Missing Variables: md_price_table,md_price_body ; 
3980089	1	
3980090	1	
3980093	1	
3980094	1	
3980095	1	
3980096	1	
3980101	1	
3980102	1	
3980103	1	
3980104	1	
3980105	1	
3980108	1	
3980109	1	
3980110	1	
3980111	1	
3980112	1	
3980114	1	
3980115	1	
3980116	2	Duplicate - multi accounts
3980117	2	Duplicate - multi accounts
3980118	2	Duplicate - multi accounts
3980119	1	
3980120	1	
3980121	1	
3980122	1	
3980123	1	
3980124	1	
3980125	1	
3980126	1	
3980129	1	
3980130	1	
3980131	1	
3980133	1	
3980134	1	
3980135	1	
3980136	1	
3980137	1	
3980138	1	
3980139	1	
3980140	1	
3980141	1	
3980142	6	[ERR] Missing Variables: plan_intro ; 
3980143	6	[ERR] Missing Variables: plan_intro ; 
3980144	6	[ERR] Missing Variables: plan_intro ; 
3980145	1	
3980146	1	
3980147	1	
3980148	1	
3980149	1	
3980150	1	
3980151	1	
3980152	1	
3980153	1	
3980154	1	
3980155	1	
3980156	1	
3980157	1	
3980158	1	
3980159	1	
3980160	1	
3980161	1	
3980162	1	
3980163	1	
3980166	1	
3980168	1	
3980169	1	
3980170	1	
3980171	1	
3980172	1	
3980173	1	
3980174	6	[ERR] Missing Variables: full_name ; 
3980175	1	
3980181	1	
3980182	1	
3980183	1	
3980184	1	
3980185	1	
3980186	1	
3980187	1	
3980188	1	
3980189	1	
3980190	1	
3980191	1	
3980192	1	
3980194	1	
3980195	1	
3980196	1	
3980197	1	
3980199	1	
3980200	1	
3980201	1	
3980203	1	
3980205	1	
3980206	1	
3980207	1	
3980208	1	
3980209	1	
3980210	1	
3980211	1	
3980212	1	
3980213	1	
3980214	1	
3980216	1	
3980217	1	
3980218	1	
3980220	1	
3980221	1	
3980222	1	
3980224	1	
3980226	1	
3980227	1	
3980231	1	
3980232	1	
3980233	1	
3980235	1	
3980236	1	
3980237	1	
3980238	1	
3980239	1	
3980240	1	
3980241	1	
3980242	1	
3980243	1	
3980244	1	
3980247	1	
3980248	1	
3980249	1	
3980250	1	
3980251	1	
3980253	1	
3980254	1	
3980255	6	[ERR] Missing Variables: dolltext,bullet_snippet2 ; 
3980256	1	
3980257	6	[ERR] Missing Variables: plan_intro ; 
3980258	6	[ERR] Missing Variables: plan_intro ; 
3980259	6	[ERR] Missing Variables: plan_intro ; 
3980260	1	
3980261	4	ERROR - Invalid Promo Code of 294
3980262	6	[ERR] Missing Variables: plan_intro ; 
3980263	6	[ERR] Missing Variables: plan_intro ; 
3980264	1	
3980265	1	
3980266	6	[ERR] Missing Variables: md_price_table,md_price_body ; 
3980267	6	[ERR] Missing Variables: md_price_table,md_price_body ; 
3980268	6	[ERR] Missing Variables: md_price_table,md_price_body ; 
3980269	1	
3980270	1	
3980271	6	[ERR] Missing Variables: md_price_table,md_price_body ; 
3980272	1	
3980273	1	
3980274	1	
3980275	1	
3980276	1	
3980277	1	
3980279	1	
3980281	1	
3980282	1	
3980283	1	
3980284	1	
3980285	1	
3980286	1	
3980287	1	
3980290	1	
3980291	1	
3980292	1	
3980293	1	
3980296	1	
3980297	1	
3980299	1	
3980300	1	
3980301	1	
3980302	1	
3980303	1	
3980305	1	
3980306	1	
3980309	1	
3980310	1	
3980311	1	
3980312	1	
3980314	1	
3980315	1	
3980316	1	
3980317	1	
3980318	1	
3980319	1	
3980320	1	
3980321	1	
3980322	1	
3980323	1	
3980324	1	
3980332	1	
3980333	1	
3980334	1	
3980335	1	
3980336	1	
3980337	1	
3980338	1	
3980339	1	
3980340	1	
3980341	1	
3980342	1	
3980343	1	
3980344	1	
