Cl.,Postl Code,External Number
900,00660,006917967
900,01001,006956551
900,01002,006956551
900,01005,006952626
900,01007,006952626
900,01008,006956551
900,01009,006952626
900,01010,006952626
900,01012,006956551
900,01026,006956551
900,01027,006956551
900,01028,006952626
900,01029,006956551
900,01030,006956551
900,01031,006952626
900,01032,006952626
900,01033,006952626
900,01034,006956551
900,01035,006956551
900,01036,006952626
900,01037,006952626
900,01038,006956551
900,01039,006952626
900,01040,006956551
900,01050,006956551
900,01053,006952626
900,01054,006956551
900,01056,006956551
900,01057,006952626
900,01060,006952626
900,01061,006952626
900,01062,006952626
900,01063,006952626
900,01068,006952626
900,01069,006952626
900,01070,006956551
900,01071,006956551
900,01072,006952626
900,01072,006956551
900,01073,006956551
900,01074,006952626
900,01077,006956551
900,01079,006952626
900,01080,006952626
900,01081,006952626
900,01082,006952626
900,01083,006952626
900,01084,006956551
900,01085,006956551
900,01088,006956551
900,01089,006956551
900,01092,006952626
900,01093,006956551
900,01094,006952626
900,01095,006952626
900,01096,006952626
900,01096,006956551
900,01098,006956551
900,01103,006956551
900,01104,006956551
900,01105,006951552
900,01105,006956551
900,01106,006956551
900,01107,006951552
900,01107,006956551
900,01108,006956551
900,01109,006951552
900,01109,006956551
900,01114,006956551
900,01116,006956551
900,01118,006951552
900,01118,006956551
900,01119,006956551
900,01128,006956551
900,01129,006956551
900,01133,006956551
900,01144,006956551
900,01151,006951552
900,01151,006952626
900,01151,006956551
900,01152,006956551
900,01201,006956551
900,01220,006952626
900,01220,006956551
900,01222,006952626
900,01223,006956551
900,01224,006956551
900,01225,006952626
900,01225,006956551
900,01226,006956551
900,01227,006956551
900,01229,006952626
900,01230,006952626
900,01235,006956551
900,01236,006952626
900,01237,006956551
900,01238,006956551
900,01240,006952626
900,01240,006956551
900,01242,006952626
900,01243,006956551
900,01245,006952626
900,01247,006952626
900,01252,006952626
900,01253,006956551
900,01254,006956551
900,01255,006956551
900,01256,006956551
900,01257,006952626
900,01258,006952626
900,01259,006952626
900,01260,006956551
900,01262,006952626
900,01263,006952626
900,01264,006956551
900,01266,006952626
900,01267,006952626
900,01270,006956551
900,01301,006956551
900,01330,006956551
900,01331,006952626
900,01337,006956551
900,01338,006956551
900,01339,006952626
900,01340,006956551
900,01341,006956551
900,01342,006956551
900,01343,006952626
900,01344,006952626
900,01344,006956551
900,01346,006952626
900,01349,006952626
900,01349,006956551
900,01350,006952626
900,01351,006956551
900,01354,006956551
900,01355,006952626
900,01360,006956551
900,01364,006952626
900,01366,006952626
900,01367,006952626
900,01368,006952626
900,01370,006956551
900,01373,006956551
900,01375,006956551
900,01376,006956551
900,01378,006952626
900,01379,006952626
900,01380,006952626
900,01432,006952626
900,01434,006952626
900,01440,006952626
900,01441,006952626
900,01451,006952626
900,01452,006952626
900,01453,006952626
900,01460,006952626
900,01462,006952626
900,01463,006952626
900,01464,006952626
900,01467,006952626
900,01473,006952626
900,01475,006952626
900,01501,006952626
900,01503,006952626
900,01504,006952626
900,01505,006952626
900,01506,006952626
900,01507,006952626
900,01508,006952626
900,01509,006952626
900,01510,006952626
900,01515,006952626
900,01516,006952626
900,01518,006952626
900,01519,006952626
900,01520,006952626
900,01521,006952626
900,01523,006952626
900,01524,006952626
900,01525,006952626
900,01526,006952626
900,01527,006952626
900,01529,006952626
900,01531,006952626
900,01532,006952626
900,01534,006952626
900,01535,006952626
900,01536,006952626
900,01537,006952626
900,01538,006952626
900,01540,006952626
900,01542,006952626
900,01543,006952626
900,01545,006951552
900,01550,006952626
900,01560,006952626
900,01561,006952626
900,01562,006952626
900,01566,006952626
900,01568,006952626
900,01569,006952626
900,01570,006952626
900,01571,006952626
900,01580,006952626
900,01581,006952626
900,01582,006952626
900,01583,006952626
900,01585,006952626
900,01586,006952626
900,01588,006952626
900,01590,006952626
900,01601,006952626
900,01602,006952626
900,01603,006952626
900,01604,006952626
900,01605,006952626
900,01606,006952626
900,01607,006952626
900,01608,006952626
900,01609,006952626
900,01610,006952626
900,01611,006952626
900,01612,006952626
900,01613,006952626
900,01614,006952626
900,01615,006952626
900,01653,006952626
900,01654,006952626
900,01655,006952626
900,01701,006951552
900,01702,006951552
900,01703,006951552
900,01704,006951552
900,01705,006951552
900,01718,006951552
900,01719,006951552
900,01720,006951552
900,01721,006951552
900,01730,006951552
900,01730,006953848
900,01731,006951552
900,01740,006952626
900,01741,006951552
900,01745,006952626
900,01746,006951552
900,01747,006952626
900,01748,006951552
900,01749,006952626
900,01752,006952626
900,01754,006951552
900,01756,006952626
900,01757,006952626
900,01760,006951552
900,01770,006951552
900,01772,006952626
900,01773,006951552
900,01775,006952626
900,01776,006951552
900,01778,006951552
900,01801,006951552
900,01803,006951552
900,01805,006951552
900,01806,006951552
900,01807,006951552
900,01808,006951552
900,01810,006951552
900,01810,006952626
900,01812,006951552
900,01813,006951552
900,01815,006951552
900,01821,006952626
900,01822,006952626
900,01824,006952626
900,01826,006952626
900,01827,006952626
900,01830,006952626
900,01831,006952626
900,01832,006952626
900,01833,006952626
900,01835,006952626
900,01840,006952626
900,01841,006952626
900,01842,006952626
900,01843,006952626
900,01844,006952626
900,01845,006952626
900,01850,006952626
900,01851,006952626
900,01852,006952626
900,01853,006952626
900,01854,006952626
900,01860,006953848
900,01862,006952626
900,01863,006952626
900,01865,006952626
900,01866,006952626
900,01876,006952626
900,01879,006952626
900,01880,006951552
900,01886,006952626
900,01887,006952626
900,01888,006951552
900,01890,006951552
900,01899,006952626
900,01901,006952626
900,01902,006952626
900,01903,006952626
900,01904,006952626
900,01905,006952626
900,01906,006952626
900,01907,006952626
900,01908,006952626
900,01910,006952626
900,01913,006952626
900,01915,006952626
900,01921,006952626
900,01922,006952626
900,01929,006952626
900,01930,006952626
900,01931,006952626
900,01936,006952626
900,01940,006952626
900,01944,006952626
900,01945,006952626
900,01950,006952626
900,01951,006952626
900,01952,006952626
900,01965,006952626
900,01966,006952626
900,01970,006952626
900,01971,006952626
900,01982,006952626
900,01983,006952626
900,01984,006952626
900,01985,006952626
900,02018,006951552
900,02018,006952626
900,02019,006951552
900,02019,006952626
900,02020,006953848
900,02021,006951552
900,02025,006952626
900,02026,006951552
900,02027,006951552
900,02030,006951552
900,02032,006951552
900,02032,006952626
900,02035,006952626
900,02038,006952626
900,02040,006953848
900,02041,006953848
900,02043,006952626
900,02044,006952626
900,02045,006952626
900,02047,006953848
900,02048,006953848
900,02050,006953848
900,02051,006953848
900,02052,006951552
900,02053,006951552
900,02054,006951552
900,02054,006953848
900,02055,006951552
900,02056,006951552
900,02056,006952626
900,02059,006953848
900,02060,006953848
900,02061,006952626
900,02062,006952626
900,02065,006953848
900,02066,006952626
900,02066,006953848
900,02067,006951552
900,02067,006952626
900,02070,006952626
900,02071,006951552
900,02072,006952626
900,02081,006951552
900,02090,006951552
900,02093,006952626
900,02101,006951552
900,02102,006951552
900,02103,006951552
900,02104,006951552
900,02105,006951552
900,02106,006951552
900,02107,006951552
900,02108,006951552
900,02109,006951552
900,02110,006951552
900,02111,006951552
900,02112,006951552
900,02113,006951552
900,02114,006951552
900,02115,006951552
900,02116,006951552
900,02117,006951552
900,02118,006951552
900,02119,006951552
900,02120,006951552
900,02121,006951552
900,02121,006952626
900,02121,006956551
900,02122,006951552
900,02122,006952626
900,02123,006951552
900,02124,006951552
900,02125,006951552
900,02126,006951552
900,02127,006951552
900,02128,006951552
900,02129,006951552
900,02130,006951552
900,02131,006951552
900,02132,006951552
900,02133,006951552
900,02134,006951552
900,02135,006951552
900,02136,006951552
900,02137,006951552
900,02138,006953665
900,02139,006953665
900,02140,006953665
900,02141,006953665
900,02142,006953665
900,02143,006951552
900,02144,006951552
900,02145,006951552
900,02145,006952626
900,02148,006952626
900,02149,006952626
900,02150,006951552
900,02151,006952626
900,02152,006952626
900,02153,006952626
900,02155,006951552
900,02155,006952626
900,02156,006952626
900,02163,006951552
900,02169,006952626
900,02170,006952626
900,02171,006952626
900,02176,006952626
900,02180,006951552
900,02186,006951552
900,02187,006951552
900,02188,006952626
900,02189,006952626
900,02190,006952626
900,02191,006951552
900,02191,006952626
900,02196,006951552
900,02199,006951552
900,02201,006951552
900,02203,006951552
900,02204,006951552
900,02205,006951552
900,02206,006951552
900,02207,006951552
900,02208,006951552
900,02209,006951552
900,02210,006951552
900,02211,006951552
900,02212,006951552
900,02215,006951552
900,02216,006951552
900,02217,006951552
900,02222,006951552
900,02228,006951552
900,02238,006953665
900,02239,006953665
900,02241,006951552
900,02266,006951552
900,02269,006952626
900,02283,006951552
900,02284,006951552
900,02293,006951552
900,02295,006951552
900,02297,006951552
900,02301,006951552
900,02301,006952626
900,02302,006952626
900,02303,006952626
900,02304,006952626
900,02305,006952626
900,02322,006952626
900,02324,006952626
900,02325,006952626
900,02330,006953848
900,02331,006953848
900,02332,006953848
900,02333,006952626
900,02334,006952626
900,02338,006952626
900,02339,006952626
900,02340,006952626
900,02341,006952626
900,02343,006952626
900,02344,006953848
900,02345,006953848
900,02346,006953848
900,02347,006953848
900,02348,006953848
900,02349,006953848
900,02351,006952626
900,02355,006953848
900,02356,006952626
900,02357,006952626
900,02358,006953848
900,02359,006952626
900,02359,006953848
900,02360,006953848
900,02361,006953848
900,02362,006953848
900,02364,006953848
900,02366,006953848
900,02367,006953848
900,02368,006951552
900,02368,006952626
900,02370,006952626
900,02375,006952626
900,02379,006952626
900,02381,006953848
900,02382,006952626
900,02420,006951552
900,02421,006951552
900,02445,006951552
900,02445,006953665
900,02446,006951552
900,02446,006952626
900,02447,006951552
900,02451,006951552
900,02452,006951552
900,02453,006951552
900,02454,006951552
900,02455,006951552
900,02458,006951552
900,02459,006951552
900,02460,006951552
900,02461,006951552
900,02462,006951552
900,02464,006951552
900,02465,006951552
900,02466,006951552
900,02467,006951552
900,02468,006951552
900,02468,006953848
900,02471,006951552
900,02472,006951552
900,02474,006951552
900,02474,006952626
900,02475,006951552
900,02476,006951552
900,02477,006951552
900,02478,006952626
900,02481,006951552
900,02492,006951552
900,02493,006951552
900,02494,006951552
900,02495,006951552
900,02532,006953848
900,02534,006953848
900,02535,006953848
900,02536,006952626
900,02536,006953848
900,02537,006953848
900,02538,006953848
900,02539,006953848
900,02540,006953848
900,02541,006953848
900,02543,006953848
900,02553,006953848
900,02554,007998644
900,02556,006953848
900,02557,006953848
900,02558,006953848
900,02559,006953848
900,02561,006953848
900,02562,006953848
900,02563,006953848
900,02564,006953848
900,02564,007998644
900,02565,006953848
900,02568,006953848
900,02571,006952626
900,02571,006953848
900,02573,006953848
900,02574,006953848
900,02575,006953848
900,02576,006953848
900,02584,007998644
900,02601,006953848
900,02630,006953848
900,02631,006953848
900,02632,006953848
900,02633,006953848
900,02635,006953848
900,02636,006953848
900,02638,006953848
900,02639,006917090
900,02639,006953848
900,02641,006953848
900,02642,006953848
900,02643,006953848
900,02644,006953848
900,02645,006953848
900,02646,006953848
900,02647,006953848
900,02648,006953848
900,02649,006953848
900,02650,006953848
900,02651,006953848
900,02652,006953848
900,02653,006953848
900,02655,006953848
900,02657,006953848
900,02659,006953848
900,02660,006953848
900,02661,006953848
900,02662,006953848
900,02663,006953848
900,02664,006953848
900,02666,006953848
900,02667,006953848
900,02668,006953848
900,02669,006953848
900,02670,006953848
900,02671,006953848
900,02672,006953848
900,02673,006953848
900,02675,006953848
900,02702,006953848
900,02703,006952626
900,02712,006952626
900,02714,006953848
900,02715,006952626
900,02717,006953848
900,02719,006953848
900,02720,006952626
900,02721,006952626
900,02722,006952626
900,02723,006952626
900,02724,006952626
900,02725,006952626
900,02726,006952626
900,02738,006953848
900,02739,006953848
900,02740,006952626
900,02740,006953848
900,02741,006952626
900,02741,006953848
900,02742,006952626
900,02742,006953848
900,02743,006952626
900,02743,006953848
900,02744,006952626
900,02744,006953848
900,02745,006953848
900,02746,006952626
900,02746,006953848
900,02747,006952626
900,02747,006953848
900,02748,006953848
900,02760,006952626
900,02761,006952626
900,02762,006952626
900,02763,006952626
900,02764,006952626
900,02766,006952626
900,02769,006952626
900,02770,006953848
900,02771,006952626
900,02777,006952626
900,02790,006952626
900,02790,006953848
900,02791,006952626
900,02842,006952626
900,05354,006917090
900,05501,006952626
900,05544,006952626
900,06001,006917090
900,06002,006917090
900,06002,006917967
900,06010,006917090
900,06011,006917090
900,06013,006917090
900,06016,006917090
900,06018,006917090
900,06019,006917090
900,06020,006917090
900,06021,006917090
900,06022,006917090
900,06023,006917090
900,06024,006917090
900,06026,006917090
900,06027,006917090
900,06029,006917090
900,06031,006917090
900,06032,006917090
900,06033,006917090
900,06034,006917090
900,06035,006917090
900,06037,006917090
900,06039,006917090
900,06040,006917090
900,06042,006917090
900,06043,006917090
900,06045,006917090
900,06048,006917090
900,06050,006917090
900,06051,006917090
900,06051,006917967
900,06052,006917090
900,06053,006917090
900,06053,006917967
900,06057,006917090
900,06058,006917090
900,06059,006917090
900,06060,006917090
900,06061,006917090
900,06062,006917090
900,06063,006917090
900,06065,006917090
900,06066,006917090
900,06067,006917090
900,06067,006917967
900,06068,006917090
900,06069,006917090
900,06070,006917090
900,06071,006917090
900,06072,006917090
900,06073,006917090
900,06074,006917090
900,06075,006917090
900,06076,006917090
900,06077,006917090
900,06078,006917090
900,06079,006917090
900,06081,006917090
900,06082,006917090
900,06084,006917090
900,06085,006917090
900,06088,006917090
900,06089,006917090
900,06090,006917090
900,06091,006917090
900,06092,006917090
900,06093,006917090
900,06094,006917090
900,06095,006917090
900,06096,006917090
900,06098,006917090
900,06101,006917090
900,06103,006917090
900,06103,006917967
900,06105,006917090
900,06106,006917090
900,06107,006917090
900,06108,006917090
900,06108,006917967
900,06109,006917090
900,06110,006917090
900,06111,006917090
900,06112,006917090
900,06114,006917090
900,06115,006917090
900,06115,006917967
900,06117,006917090
900,06118,006917090
900,06119,006917090
900,06120,006917090
900,06129,006917090
900,06134,006917090
900,06154,006917967
900,06226,006917090
900,06230,006917090
900,06231,006917090
900,06232,006917090
900,06233,006917090
900,06234,006917090
900,06235,006917090
900,06237,006917090
900,06238,006917090
900,06239,006917090
900,06241,006917090
900,06242,006917090
900,06243,006917090
900,06244,006917090
900,06245,006917090
900,06246,006917090
900,06247,006917090
900,06248,006917090
900,06249,006917090
900,06250,006917090
900,06251,006917090
900,06254,006917090
900,06255,006917090
