Utility_Code,Utility,DUNS,AcctLength,InputMask,my_fixes,InputMaskResponse,Bill_Method,PricingMethod,UtilityAbbrev,UtilityID,State,CommodityID,Commodity,Unit,UnitAbbrev,EDI_Unit,RateType,DefaultSPL,Sender Name,Rules,DistributorName,Sister_Utility_Code,AllowBackDatedPricing,TaxRate,TaxInfo,DualBilling,BudgetBilling,TaxBackout,ManualEnrollments,InvCancelRefsUsage,PricingUnit,PricingUnitAbbrev,UsageHistoryUnit,UsageHistoryUnitAbbrev,InvoicingUnit,InvoicingUnitAbbrev,AcceptingEnrolments,VendorID,UtilitySlug
9,AEP Texas Central,7924772,17,,,,4,Unique,CPL,9,TX,1,Electric,Kilowatt Hour,kWh,KH,,,,,AEP Texas Central,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,2,cpl
14,AEP Texas North,7923311,17,,,,4,Unique,WTU,14,TX,1,Electric,Kilowatt Hour,kWh,KH,,,,,AEP Texas North,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,2,wtu
81,Ameren,6936017,10,0,,,2,Unique,Ameren,81,IL,1,Electric,Kilowatt Hour,kWh,KH,,RATE ZONE I,,,Ameren Illinois,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,ameren
27,Atlantic City Electric,006971618NJ,,,5.00E+20,,2,Unique,ACE,27,NJ,1,Electric,Kilowatt Hour,kWh,KH,,AE,,All Numbers,Atlantic City Electric,,1,0.07,1,1,1,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,ace
31,Baltimore Gas and Electric - Electric,156171464,10,0,,,2,Unique,BGE,31,MD,1,Electric,Kilowatt Hour,kWh,KH,,BGE,,All Numbers,Baltimore Gas and Electric - Electric,56,1,,0,0,1,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,bge
56,Baltimore Gas and Electric - Gas,6949713,10,0,,,2,Unique,BGG,56,MD,2,Gas,Therm,thm,TD,,BGG,,,Baltimore Gas and Electric - Gas,31,1,,0,0,1,0,0,0,Therm,thm,Therm,thm,Therm,thm,1,1,bgg
11,Centerpoint Energy,957877905,22,,,,4,Unique,REL,11,TX,1,Electric,Kilowatt Hour,kWh,KH,,,,,Centerpoint Energy,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,2,rel
3,Central Hudson,6993695,10,0,,,1,Inherit,CHU,3,NY,1,Electric,Kilowatt Hour,kWh,KH,Rate Code,,,All Numbers (truncate the 11th char for EDI),Central Hudson,82,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,chu
82,Central Hudson Gas,006993695GAS,10,0,,,,,CHG,82,NY,2,Gas,,,,,,,,Central Hudson Gas,3,0,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,chg
22,Citizens Electric,,,,,,2,Unique,Citizens,22,PA,1,Electric,Kilowatt Hour,kWh,KH,,,,,,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,citizens
