ZIP_CODE,DUNs,DUNs.1,utility,short_zip,city,state
1001,006956551,6956551,WMECO,1001,AGAWAM,MA
1002,006956551,6956551,WMECO,1002,AMHERST,MA
1005,006952626,6952626,MECO,1005,BARRE,MA
1007,006952626,6952626,MECO,1007,BELCHERTOWN,MA
1008,006956551,6956551,WMECO,1008,BLANDFORD,MA
1009,006952626,6952626,MECO,1009,BONDSVILLE,MA
1010,006952626,6952626,MECO,1010,BRIMFIELD,MA
1012,006956551,6956551,WMECO,1012,CHESTERFIELD,MA
1026,006956551,6956551,WMECO,1026,CUMMINGTON,MA
1027,006956551,6956551,WMECO,1027,EASTHAMPTON,MA
1028,006952626,6952626,MECO,1028,EAST LONGMEADOW,MA
1029,006956551,6956551,WMECO,1029,EAST OTIS,MA
1030,006956551,6956551,WMECO,1030,FEEDING HILLS,MA
1031,006952626,6952626,MECO,1031,GILBERTVILLE,MA
1032,006952626,6952626,MECO,1032,GOSHEN,MA
1033,006952626,6952626,MECO,1033,GRANBY,MA
1034,006956551,6956551,WMECO,1034,GRANVILLE,MA
1035,006956551,6956551,WMECO,1035,HADLEY,MA
1036,006952626,6952626,MECO,1036,HAMPDEN,MA
1037,006952626,6952626,MECO,1037,HARDWICK,MA
1038,006956551,6956551,WMECO,1038,HATFIELD,MA
1039,006952626,6952626,MECO,1039,HAYDENVILLE,MA
1040,006956551,6956551,WMECO,1040,HOLYOKE,MA
1050,006956551,6956551,WMECO,1050,HUNTINGTON,MA
1053,006952626,6952626,MECO,1053,LEEDS,MA
1054,006956551,6956551,WMECO,1054,LEVERETT,MA
1056,006956551,6956551,WMECO,1056,LUDLOW,MA
1057,006952626,6952626,MECO,1057,MONSON,MA
1060,006952626,6952626,MECO,1060,NORTHAMPTON,MA
1061,006952626,6952626,MECO,1061,NORTHAMPTON,MA
1062,006952626,6952626,MECO,1062,FLORENCE,MA
1063,006952626,6952626,MECO,1063,NORTHAMPTON,MA
1068,006952626,6952626,MECO,1068,OAKHAM,MA
1069,006952626,6952626,MECO,1069,PALMER,MA
1070,006956551,6956551,WMECO,1070,PLAINFIELD,MA
1071,006956551,6956551,WMECO,1071,RUSSELL,MA
1072,006952626,6952626,MECO,1072,SHUTESBURY,MA
1072,006956551,6956551,WMECO,1072,SHUTESBURY,MA
1073,006956551,6956551,WMECO,1073,SOUTHAMPTON,MA
1074,006952626,6952626,MECO,1074,SOUTH BARRE,MA
1077,006956551,6956551,WMECO,1077,SOUTHWICK,MA
1079,006952626,6952626,MECO,1079,THORNDIKE,MA
1080,006952626,6952626,MECO,1080,THREE RIVERS,MA
1081,006952626,6952626,MECO,1081,WALES,MA
1082,006952626,6952626,MECO,1082,WARE,MA
1083,006952626,6952626,MECO,1083,WARREN,MA
1084,006956551,6956551,WMECO,1084,WEST CHESTERFIELD,MA
1085,006956551,6956551,WMECO,1085,MONTGOMERY,MA
1088,006956551,6956551,WMECO,1088,WEST HATFIELD,MA
1089,006956551,6956551,WMECO,1089,WEST SPRINGFIELD,MA
1092,006952626,6952626,MECO,1092,WEST WARREN,MA
1093,006956551,6956551,WMECO,1093,WHATELY,MA
1094,006952626,6952626,MECO,1094,WHEELWRIGHT,MA
1095,006952626,6952626,MECO,1095,WILBRAHAM,MA
1096,006952626,6952626,MECO,1096,WILLIAMSBBURG,MA
1096,006956551,6956551,WMECO,1096,WILLIAMSBBURG,MA
1098,006956551,6956551,WMECO,1098,WORTHINGTON,MA
1103,006956551,6956551,WMECO,1103,SPRINGFIELD,MA
1104,006956551,6956551,WMECO,1104,SPRINGFIELD,MA
1105,006951552,6951552,BECO,1105,SPRINGFIELD,MA
1105,006956551,6956551,WMECO,1105,SPRINGFIELD,MA
1106,006956551,6956551,WMECO,1106,LONGMEADOW,MA
1107,006951552,6951552,BECO,1107,SPRINGFIELD,MA
1107,006956551,6956551,WMECO,1107,SPRINGFIELD,MA
1108,006956551,6956551,WMECO,1108,SPRINGFIELD,MA
1109,006951552,6951552,BECO,1109,SPRINGFIELD,MA
1109,006956551,6956551,WMECO,1109,SPRINGFIELD,MA
1114,006956551,6956551,WMECO,1114,SPRINGFIELD,MA
1116,006956551,6956551,WMECO,1116,LONGMEADOW,MA
1118,006951552,6951552,BECO,1118,SPRINGFIELD,MA
1118,006956551,6956551,WMECO,1118,SPRINGFIELD,MA
1119,006956551,6956551,WMECO,1119,SPRINGFIELD,MA
1128,006956551,6956551,WMECO,1128,SPRINGFIELD,MA
1129,006956551,6956551,WMECO,1129,SPRINGFIELD,MA
1133,006956551,6956551,WMECO,1133,SPRINGFIELD,MA
1144,006956551,6956551,WMECO,1144,SPRINGFIELD,MA
1151,006951552,6951552,BECO,1151,INDIAN ORCHARD,MA
1151,006952626,6952626,MECO,1151,INDIAN ORCHARD,MA
1151,006956551,6956551,WMECO,1151,INDIAN ORCHARD,MA
1152,006956551,6956551,WMECO,1152,SPRINGFIELD,MA
1201,006956551,6956551,WMECO,1201,PITTSFIELD,MA
1220,006952626,6952626,MECO,1220,ADAMS,MA
1220,006956551,6956551,WMECO,1220,ADAMS,MA
