SKU_ID,SKU,BrandSlug,LineOfBusiness,Channel,SubChannel,ProductPath,BundleSlug,BundleName,BundleDescription,EffectiveDate,ExpirationDate,State,Commodity,UtilityCode,UtilityAbbrev,PremiseType,LockType,TermsOfServiceType,PricingTerm,UtilityRate,Rate,UtilityOnPeakRate,OnPeakRate,UtilityOffPeakRate,OffPeakRate,ECF,ComcastPTC_Discount,DailyServiceCharge,MonthlyServiceCharge,VAS_Code,ProductEligibilityClass,PartnerCode,PromoCode,SignupBonus,SignupVesting,MerchandiseSlug,Merchandise,MerchandiseVesting,OngoingValue,OngoingFrequency,Sunday2cents,PriorityLevel,RequiresCorrespondence,TOS_Template,TOS_TemplateLabels,UMS_KitCode,CEN_KitCode,PromoSwitchKitCode,EnvironmentUse
228456,010B77CC-8308,nrg_residential,mass_market,door_to_door,,,cash_back_only,The Cash Back Plan,D2D Cash Back Only Plan,02/09/2020,,OH,Electric,72,CEI,residential,Contract,Fixed,6,0.059,0.059,,,,,$0.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
228457,021D3586-ED59,nrg_residential,mass_market,door_to_door,,,cash_back_only,The Cash Back Plan,D2D Cash Back Only Plan,02/09/2020,,OH,Electric,73,OE,residential,Contract,Fixed,6,0.059,0.059,,,,,$0.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
228341,00690849-3C7A,nrg_residential,mass_market,door_to_door,,,cash_back_only,The Cash Back Plan,D2D Cash Back Only Plan,02/04/2020,,IL,Electric,81,Ameren,residential,Contract,Fixed,6,0.062,0.062,,,,,$0.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
228342,00DA9123-0ED3,nrg_residential,mass_market,door_to_door,,,cash_back_only,The Cash Back Plan,D2D Cash Back Only Plan,02/04/2020,,NJ,Electric,30,RECO,residential,contract,fixed,6,0.119,0.119,,,,,$60.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
227439,016E65F9-8E31,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),01/06/2020,,PA,Gas,68,UGIG,residential,intro,variable,3,0.47,0.47,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211842,264BF3B9-46A6,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,IL,Gas,70,NICOR,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211843,27A4C331-D7AA,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,MD,Gas,56,BGG,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211844,27A5EAE7-B5C4,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,MD,Gas,57,WGL,residential,intro,variable,3,0.49,0.49,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211845,27AD574F-F0B4,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,64,COLPAG,residential,intro,variable,3,2.99,0.299,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211849,29D81120-96F5,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,65,PNGPA,residential,intro,variable,3,3.6876,3.6876,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
