Action,SKU,CampaignID,OfferID,BrandSlug,ChannelSlug,SubChannel,Ranking,ProductSlug,ProductName,ProductDescription,BaseProduct,ProductPath,ExpirationDate,StateSlug,Commodity,UtilitySlug,UtilityZone,PremiseType,PricingTerm,PricingEngineLockType,TermsOfServiceType,UtilityRate,Rate,UtilityOnPeakRate,OnPeakRate,UtilityOffPeakRate,OffPeakRate,PenaltyType,EarlyCancellationFee,DailyServiceCharge,MonthlyServiceCharge,VASCode,ProductEligibilityClass,Adder,PartnerCode,PromoCode,MerchandiseText,MerchandiseSlug,MerchandiseVesting,SignupBonus,SignupVesting,OngoingValue,OngoingFrequency,PriorityLevel,TermsOfServiceTemplate,RequiresPriceChangeNotice,RateCategory
None,g0009a77554542b9,U-00005285,1000047347,nrg_residential,inbound_telemarketing,,,0120dm_pa_ecl_50_bonus,Variable Plan PA ECL,$50 Check/3% Cash Back - January 2020 DM,,hidden,12/31/9999,pa,electric,meted,,residential,3,intro,variable,0.052000000000000005,0.052000000000000005,,,,,,,,,6,,,nrr,553,,,,$50,2 Months,3%,12 Months,23.0,,False,NRGHRVAR
None,g000ac11f3fe6c48,U-00004925,1000037379,nrg_residential,retention,,4.0,retention_goo_homehub,Google Home Hub Retention Offer,12M Speak & Play Retention Offer Google Home Hub,,LEAD,12/31/9999,dc,electric,pepcodc,,residential,12,contract,fixed,0.109,0.109,,,,,prorated,120.0,,,6,,,goo,197,Google Home Hub,google_home_hub,P3M,,,,,,,False,NRGHRFIX
None,g0011cc9b1049497,U-00005233,1000047207,nrg_residential,web,,,0120dm,Variable Plan,Basic Web Variable Plan - Jan 2020 DM,,,12/31/9999,oh,electric,dpl,,residential,3,intro,variable,0.039,0.039,,,,,,,,,6,,,nrr,553,,,,$50,2 Months,3%,12 Months,23.0,,False,NRGHRVAR
None,g0015d8d113002f1,U-00002463,1000035301,nrg_residential,web,,,online_exclusive_24,PA Power Switch Fixed Plan,PA Power Switch Plan - 24M,,,02/02/2222,pa,electric,duq,,residential,24,contract,fixed,0.0919,0.0919,,,,,prorated,240.0,,,6,,,nrr,524,,,,,,,,,,True,NRGHRFIX
None,g0028f1c2b1962eb,U-00003663,1000026880,nrg_residential,retail,nemours,,nemours_gives,Fixed plan that benefits duPont Hospital for Children,"$50 contribution to Nemours after 1 month of service, and 1% ongoing contribution annually",,,02/02/2222,pa,electric,peco,,residential,12,contract,fixed,0.091,0.091,,,,,prorated,120.0,,,6,,,nem,142,,,,$50,1 Months,1%,12 Months,26.0,,True,NRGHRFIX
None,g002ce8f2d50e9fd,U-00005331,1000049386,nrg_residential,retail,Sams_45_bonus,,3m_samsclub_45_3mnths,Sams Club Affinity Plan,"$45 gift card after 3 months,$45 gift card annually",,,12/31/9999,pa,electric,peco,,residential,3,intro,variable,0.062,0.062,,,,,,,,,6,,,sam,199,,,,$45,3 months,45 dollars,12 Months,22.0,,False,NRGHRVAR
None,g00324d77f8112de,U-00004836,1000036207,nrg_residential,inbound_telemarketing,,,csr_2mon_10000_bonus_2pcnt_earn_corporate,Power Play Electric Plan with Caesars Rewards,"10,000 bonus/ 2 credits per $1 - nrghomepower.com",,Partnership/Hotel/Ceasars,02/02/2222,nj,electric,pseg,,residential,3,intro,variable,0.156,0.156,,,,,,,,,6,,,csr,47,,,,"10,000 Points",2 Months,2*,1 Month,23.0,,False,NRGHRVAR2
None,g004af6d8dfc0eec,U-00004704,1000035915,nrg_residential,web,,,google_home_12mnths_corporate,12M Speak & Play,12M Speak & Play Google Home - nrghomepower.com,,,12/31/9999,oh,electric,aeps,,residential,12,contract,fixed,0.069,0.069,,,,,prorated,0.0,,,6,,,goo,193,Google Home,google_home,P3M,,,,,,,False,NRGHRFIX
None,g0066153e3faaa67,U-00003304,1000047847,nrg_residential,inbound_telemarketing,,,fnf_gz_rockout_torch_3_months,FNF Renewable,GZ Rock Out and GZ Torch after 3M,,Friends and Family,02/02/2222,nj,electric,pseg,,residential,12,contract,fixed,0.149,0.149,,,,,prorated,120.0,,,11,,,gze,159,GZ Rock Out 2 Solar Speaker|Torch 250 Flashlight,gz_rockout2_black|gz_torch250,P3M|P3M,,,,,8.0,,False,NRGHRFIX2
None,g006c150690ddd3b,U-00004816,1000049582,nrg_residential,retention,,1.0,retention_swa_3pcnt_earn_6,CH Power Trip 6 Month Electric Plan with Rapid Rewards points,SAVE1 Retention 6 Month - 3 points per $1 (Cardholders only),,SAVE1,02/02/2222,pa,electric,penn,,residential,6,contract,fixed,0.079,0.079,,,,,prorated,60.0,,,6,,,swa,622,,,,,,3*,1 Month,23.0,,True,NRGHRFIX
